Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
1,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,42
2,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,101
3,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,2025
4,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,6789
5,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,13579
6,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,24680
7,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,73205
8,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,10939
9,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,84752
10,BR,Scenario0,148,2,150,High,-,-,-,-,-,-,62700
11,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,42
12,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,101
13,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,2025
14,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,6789
15,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,13579
16,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,24680
17,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,73205
18,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,10939
19,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,84752
20,BR,Scenario0,145,5,150,High,-,-,-,-,-,-,62700
21,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,42
22,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,101
23,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,2025
24,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,6789
25,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,13579
26,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,24680
27,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,73205
28,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,10939
29,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,84752
30,BR,Scenario0,142,8,150,High,-,-,-,-,-,-,62700
31,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,42
32,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,101
33,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,2025
34,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,6789
35,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,13579
36,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,24680
37,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,73205
38,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,10939
39,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,84752
40,BR,Scenario0,139,11,150,High,-,-,-,-,-,-,62700
41,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,42
42,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,101
43,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,2025
44,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,6789
45,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,13579
46,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,24680
47,BR,Scenario0,135,15,150,High,-,-,-,-,-,-,73205
